,artist_id,artist_name
10800,609667,Camila Cabello
10801,1740394,Shawn Mendes & Camila Cabello
10802,555561,Dua Lipa
10803,1296540,Martin Garrix & Dua Lipa
10804,555561,Dua Lipa
10805,1425396,Calvin Harris & Dua Lipa
10806,555561,Dua Lipa
10807,555561,Dua Lipa
10808,1570288,Dua Lipa & BLACKPINK
10809,1569564,Silk City & Dua Lipa
10810,555561,Dua Lipa
10811,555561,Dua Lipa
10812,1452123,Becky G & Natti Natasha
10813,1240266,Genius Translations
10814,531856,Natti Natasha
10815,531856,Natti Natasha
10816,531856,Natti Natasha
10817,1476820,Natti Natasha & Daddy Yankee
10818,531856,Natti Natasha
10819,531856,Natti Natasha
10820,531856,Natti Natasha
10821,531856,Natti Natasha
10822,31849,The Cranberries
10823,31849,The Cranberries
10824,31849,The Cranberries
10825,31849,The Cranberries
10826,31849,The Cranberries
10827,31849,The Cranberries
10828,31849,The Cranberries
10829,31849,The Cranberries
10830,31849,The Cranberries
10831,40035,AJJ
10832,31849,The Cranberries
10833,31849,The Cranberries
10834,31849,The Cranberries
10835,31849,The Cranberries
10836,31849,The Cranberries
10837,31849,The Cranberries
10838,31849,The Cranberries
10839,31849,The Cranberries
10840,31849,The Cranberries
10841,40035,AJJ
10842,1113863,HotSpanish
10843,1113863,HotSpanish
10844,1113863,HotSpanish
10845,1113863,HotSpanish
10846,1113863,HotSpanish
10847,1113863,HotSpanish
10848,1113864,Hotspanish 
10849,1113863,HotSpanish
10850,1113863,HotSpanish
10851,1113863,HotSpanish
10852,17621,Slim Lean
10853,15792,Steve Aoki
10854,1194,Soulja Boy Tell 'Em
10855,1194,Soulja Boy Tell 'Em
10856,1269949,​ohtrapstar
10857,65109,Rich the Kid
10858,1054775,Lean Chihiro
10859,667554,Hella Sketchy
10860,1194,Soulja Boy Tell 'Em
10861,641165,Bryuk
10862,31849,The Cranberries
10863,31849,The Cranberries
10864,31849,The Cranberries
10865,31849,The Cranberries
10866,31849,The Cranberries
10867,31849,The Cranberries
10868,31849,The Cranberries
10869,31849,The Cranberries
10870,31849,The Cranberries
10871,40035,AJJ
10872,31849,The Cranberries
10873,31849,The Cranberries
10874,31849,The Cranberries
10875,31849,The Cranberries
10876,31849,The Cranberries
10877,31849,The Cranberries
10878,31849,The Cranberries
10879,31849,The Cranberries
10880,31849,The Cranberries
10881,40035,AJJ
10882,31849,The Cranberries
10883,31849,The Cranberries
10884,31849,The Cranberries
10885,31849,The Cranberries
10886,31849,The Cranberries
10887,31849,The Cranberries
10888,31849,The Cranberries
10889,31849,The Cranberries
10890,31849,The Cranberries
10891,40035,AJJ
10892,31849,The Cranberries
10893,31849,The Cranberries
10894,31849,The Cranberries
10895,31849,The Cranberries
