,Unnamed: 0,artist,date,position,streams,track_name,url
35472,35472,Jonas Blue,2017-06-30,73,79375,Mama,https://open.spotify.com/track/4xlrALxuaCf9yZBHJeTSG6
35483,35483,Calvin Harris,2017-06-30,84,68288,"Cash Out (feat. ScHoolboy Q, PARTYNEXTDOOR & D.R.A.M.)",https://open.spotify.com/track/0Ws8D3EWUDgY962Xftb0h5
35494,35494,Nicky Jam,2017-06-30,95,61667,El Amante - Remix,https://open.spotify.com/track/04f13iELcsYpY2yeLiAcfq
35506,35506,Drake,2017-06-30,107,57340,Signs,https://open.spotify.com/track/6Na5uKk5SsqZimk0hAWo8y
35533,35533,Calvin Harris,2017-06-30,134,50949,Rollin (feat. Future & Khalid),https://open.spotify.com/track/0lMbuWUpfTWhEmOKxppEau
35554,35554,Caloncho,2017-06-30,155,46762,Optimista,https://open.spotify.com/track/4Hg78x2saZPrbUin5CFIJt
35570,35570,Bruno Mars,2017-06-30,171,43980,Versace On The Floor (Bruno Mars vs. David Guetta),https://open.spotify.com/track/5UJshy5HDHdNEVqlJwzsQB
35787,35787,J Alvarez,2017-07-01,188,38145,Esa Boquita,https://open.spotify.com/track/3tWeAH4IYIrxV2jrUk9Ab3
35797,35797,Romeo Santos,2017-07-01,198,37599,Imitadora,https://open.spotify.com/track/19CAKZdXVNyZrfmF60RAj3
36184,36184,Melendi,2017-07-03,185,37277,Destino o Casualidad,https://open.spotify.com/track/02IJFWVjLSM811RsySQusA
36191,36191,Julia Michaels,2017-07-03,192,36817,Uh Huh,https://open.spotify.com/track/1eVRnmGhDPATPxz6kqWuCP
36552,36552,Jennifer Lopez,2017-07-05,153,43477,Ni Tú Ni Yo (feat. Gente de Zona),https://open.spotify.com/track/5xMzazov0IHYllrc8U2K6F
36780,36780,Jd Pantoja,2017-07-06,181,40769,Dile Mentiras (feat. Tony M),https://open.spotify.com/track/5iEQlrA8N81wC6HQFlx8rq
36879,36879,Zedd,2017-07-07,80,72110,Get Low (with Liam Payne),https://open.spotify.com/track/1CKd1PnqfYx0H12V9MSaIY
36957,36957,Kesha,2017-07-07,158,44850,Praying,https://open.spotify.com/track/79NlESqzFSW0hdBWgls4FX
36981,36981,Ozuna,2017-07-07,182,42073,Bebe (feat. Anuel AA),https://open.spotify.com/track/6SIrNxmmdbv1KUbFBu1PaN
36987,36987,Coldplay,2017-07-07,188,41378,A L I E N S,https://open.spotify.com/track/6pwvH9LfroBLqd3dez9vBz
37181,37181,Chyno Miranda,2017-07-08,182,38620,Quédate Conmigo,https://open.spotify.com/track/0a9b4sUavOWgyc9jeScv7Y
37391,37391,Maluma,2017-07-09,192,31471,Felices los 4 - Salsa Version,https://open.spotify.com/track/33F4IHQ2JcXWSDXNA9b4tK
37796,37796,Demi Lovato,2017-07-11,197,37693,Sorry Not Sorry,https://open.spotify.com/track/25C5CowdsfXld2jJanbiex
38070,38070,Selena Gomez,2017-07-13,71,75134,Fetish (feat. Gucci Mane),https://open.spotify.com/track/0XLOf9LhyazPX9Ld8jPiUq
38290,38290,Becky G,2017-07-14,91,60728,Mayores,https://open.spotify.com/track/7JNh1cfm0eXjqFVOzKLyau
38297,38297,Coldplay,2017-07-14,98,58816,Miracles (Someone Special),https://open.spotify.com/track/6uJwPeBGb3swi85TSr9iIz
38366,38366,Wisin,2017-07-14,167,43541,Escápate Conmigo - Remix,https://open.spotify.com/track/5P45f6HakSHDwdFj5dO5K5
38378,38378,Bad Bunny,2017-07-14,179,41557,Tu No Metes Cabra,https://open.spotify.com/track/10nQ3Pj0o1XotcikgJPVKD
38584,38584,Lauv,2017-07-15,185,39450,I Like Me Better,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9
38689,38689,Jonas Blue,2017-07-16,90,52141,Mama,https://open.spotify.com/track/4GEQd6D1NeNjpf0pbOgJSO
38789,38789,Queen,2017-07-16,190,33050,Bohemian Rhapsody - Remastered 2011,https://open.spotify.com/track/7tFiyTwD0nx5a1eklYtX2J
38799,38799,Brytiago,2017-07-16,200,31937,Netflixxx,https://open.spotify.com/track/5gFAT2DbEt4TOMXyAMEixG
39173,39173,Felipe Peláez,2017-07-18,174,39762,Vivo Pensando En Ti (feat. Maluma),https://open.spotify.com/track/0H7cz1bR7w9PulJL7Na774
39183,39183,Dua Lipa,2017-07-18,184,38524,New Rules,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0
39304,39304,Cali Y El Dandee,2017-07-19,105,52872,Lumbra,https://open.spotify.com/track/7dx0Funwrd0LRvquDFQ8fv
39325,39325,Alfredo Olivas,2017-07-19,126,47655,En Definitiva,https://open.spotify.com/track/57tdYLxIPDGcjEQFBK8pjn
39418,39418,,2017-07-20,19,176312,,https://open.spotify.com/track/3RXkboS74UYzN14xTqzPyY
39438,39438,,2017-07-20,39,125389,,https://open.spotify.com/track/3eFJqPe8VUYrABbFjSauuj
39455,39455,,2017-07-20,56,95178,,https://open.spotify.com/track/4JAyIDXOqNM6qHuZML01uX
39471,39471,Linkin Park,2017-07-20,72,77214,In The End,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
39484,39484,,2017-07-20,85,66573,,https://open.spotify.com/track/3bVbQvGVIe4n24AzyXovXh
39490,39490,Linkin Park,2017-07-20,91,60425,Numb,https://open.spotify.com/track/2nLtzopw4rPReszdYBJU6h
39577,39577,Linkin Park,2017-07-20,178,40289,What I've Done,https://open.spotify.com/track/4kfm1uI9QGaoN9qm6CkAMn
39646,39646,Romeo Santos,2017-07-21,47,121245,Imitadora,https://open.spotify.com/track/4fSZ0TgFfg4wMqekZBWMpe
39647,39647,Louis Tomlinson,2017-07-21,48,119973,Back to You (feat. Bebe Rexha & Digital Farm Animals),https://open.spotify.com/track/7F9vK8hNFMml4GtHsaXui6
39662,39662,Romeo Santos,2017-07-21,63,91036,Bella y Sensual,https://open.spotify.com/track/0ERbK7qVqveCaBWIiYCrl3
39712,39712,Linkin Park,2017-07-21,113,54335,Crawling,https://open.spotify.com/track/57BrRMwf9LrcmuOsyGilwr
39717,39717,Linkin Park,2017-07-21,118,53192,One Step Closer,https://open.spotify.com/track/3K4HG9evC7dg3N0R9cYqk4
39727,39727,Linkin Park,2017-07-21,128,50147,BURN IT DOWN,https://open.spotify.com/track/7oVEtyuv9NBmnytsCIsY5I
39745,39745,Linkin Park,2017-07-21,146,47466,Somewhere I Belong,https://open.spotify.com/track/3agtg0x11wPvLIWkYR39nZ
39750,39750,Lana Del Rey,2017-07-21,151,46457,Lust For Life (with The Weeknd),https://open.spotify.com/track/0mt02gJ425Xjm7c3jYkOBn
39754,39754,JAY Z,2017-07-21,155,46238,Numb / Encore,https://open.spotify.com/track/5sNESr6pQfIhL3krM8CtZn
39756,39756,Linkin Park,2017-07-21,157,46172,Bleed It Out,https://open.spotify.com/track/3qmvK8QARSPkFTuKeIXSbs
39757,39757,Linkin Park,2017-07-21,158,45743,Papercut,https://open.spotify.com/track/1Vej0qeQ3ioKwpI6FUbRv1
39766,39766,Linkin Park,2017-07-21,167,44187,Faint,https://open.spotify.com/track/4Yf5bqU3NK4kNOypcrLYwU
39775,39775,Lana Del Rey,2017-07-21,176,43002,Summer Bummer (feat. A$AP Rocky & Playboi Carti),https://open.spotify.com/track/0T8qHE4gQPf8g9KjvjNmDq
39779,39779,Linkin Park,2017-07-21,180,42035,Battle Symphony,https://open.spotify.com/track/3FQCJI2t5LTbsRPfYVBSVB
39783,39783,Lana Del Rey,2017-07-21,184,41610,Beautiful People Beautiful Problems (feat. Stevie Nicks),https://open.spotify.com/track/3O7p9Itz8PXUoAjD2vmuM6
